pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante
-123,123,-293,-316,-1,-0.277778,-1.81818,0.404
115,105,-289,-318,-2,-0.555556,-3.55942,0.386
98,86,-298,-307,-2,-0.555556,-3.55942,0.386
85,73,-316,-299,-2,-0.555556,-3.55942,0.386
62,50,-319,-294,-2,-0.555556,-3.55942,0.367
41,31,-313,-288,-2,-0.555556,-3.55942,0.367
23,13,-310,-283,-1,-0.277778,-1.81818,0.356
7,1,-315,-285,-1,-0.277778,-1.81818,0.356
-12,-18,-316,-285,0,0,0,0.338
-27,-31,-316,-290,0,0,0,0.338
-50,-51,-313,-304,1,0.277778,1.81818,0.305
-66,-67,-316,-311,1,0.277778,1.81818,0.305
-88,-89,-321,-314,1,0.277778,1.81818,0.305
-102,-105,-304,-318,1,0.277778,1.81818,0.277
-119,-120,-297,-312,1,0.277778,1.81818,0.277
121,119,-295,-311,1,0.277778,1.81818,0.251
103,99,-294,-313,1,0.277778,1.81818,0.251
89,81,-290,-316,1,0.277778,1.81818,0.226
74,68,-297,-320,1,0.277778,1.81818,0.226
58,51,-294,-314,1,0.277778,1.81818,0.226
40,32,-292,-312,0,0,0,0.203
22,13,-297,-305,0,0,0,0.179
-14,-27,-309,-328,0,0,0,0.179
-60,-72,-317,-313,-1,-0.277778,-1.81818,0.176
-92,-123,-315,-319,-1,-0.277778,-1.81818,0.132
120,107,-315,-314,-1,-0.277778,-1.81818,0.132
56,42,-318,-317,-1,-0.277778,-1.81818,0.049
16,-31,-316,-295,0,0,0,0.024
100,89,0,0,2,0.555556,3.55942,0.004
100,89,0,0,-12,-3.33333,-17.7622,0.004
100,89,0,0,-29,-8.05556,-35.0802,0.171
100,89,0,0,-29,-8.05556,-35.0802,0.508
99,88,-260,-115,-43,-11.9444,-47.4405,0.508
62,69,-341,-155,-75,-20.8333,-75,0.329
27,61,-322,-146,-105,-29.1667,-75,0.329
8,51,-310,-122,-105,-29.1667,-75,0.198
-18,43,-307,-66,-105,-29.1667,-75,0.198
-44,38,-290,-34,-126,-35,-75,0.171
-60,37,-329,-40,-134,-37.2222,-75,0.171
-87,32,-309,-47,-134,-37.2222,-75,0.176
-112,29,-324,-35,-129,-35.8333,-75,0.176
115,25,-321,-41,-123,-34.1667,-75,0.176
93,22,-311,-43,-118,-32.7778,-75,0.176
74,19,-315,-41,-110,-30.5556,-75,0.176
45,16,-313,-45,-110,-30.5556,-75,0.384
28,14,-320,-40,-99,-27.5,-75,0.384
2,10,-311,-45,-99,-27.5,-75,0.356
